APB_LLRR_29|SERVEI_29|NUM_ESCALA_23|FECHA_ENTRADA|FECHA_SALIDA|NOM_VAIXELL_23
7||28738|23/10/2021 06;00|24/10/2021 08;00|MEDITERRANEAN EXPRES
62||29032|01/10/2021 12;17|01/10/2021 20;00|ECO VALENCIA
45||29095|08/10/2021 06;00|08/10/2021 20;00|RACHEL BORCHARD
323||29220|09/10/2021 19;00|09/10/2021 22;00|CIUDAD DE PALMA
323||29225|08/10/2021 19;00|08/10/2021 22;00|VOLCAN DEL TEIDE
205||29204|20/10/2021 08;00|22/10/2021 20;00|BARBARA P
252||29084|15/10/2021 19;00|16/10/2021 04;00|DINA TRADER
18||28774|09/11/2021 00;05|10/11/2021 05;00|AL MASHRAB
37||28773|10/11/2021 05;00|11/11/2021 05;00|DALLAS EXPRESS
318||29162|07/10/2021 19;00|07/10/2021 23;00|CRUISE BARCELONA
318||29164|09/10/2021 20;00|09/10/2021 23;59|CRUISE BARCELONA
21||29173|07/10/2021 22;00|08/10/2021 01;00|EXCELLENT
222||29081|13/10/2021 18;00|14/10/2021 14;00|ATLANTIC GENEVA
341||29143|06/10/2021 18;00|06/10/2021 23;00|GNV SEALAND
341||29146|09/10/2021 21;30|09/10/2021 23;30|GNV SEALAND
251||28740|23/10/2021 00;00|24/10/2021 00;00|BREMEN EXPRESS
325||28866|06/10/2021 19;00|06/10/2021 22;00|MARTIN I SOLER
151||28702|29/09/2021 16;43|01/10/2021 20;00|VERONICA B
88||29063|04/10/2021 03;00|05/10/2021 14;00|AQUARIUS ACE
233||29064|07/10/2021 20;00|08/10/2021 08;00|MAERSK NORFOLK
350||29210|08/10/2021 01;00|08/10/2021 23;00|WEC CORNEILLE
240||28715|31/10/2021 19;00|02/11/2021 02;00|CMA CGM PATAGONIA
320||28846|04/10/2021 07;00|04/10/2021 22;45|CIUDAD DE PALMA
233||29088|10/10/2021 08;00|10/10/2021 18;00|HELENE
